半径,中心 X,中心 Y
9.5000,1922.5407,1359.2949
9.5000,1922.5407,1392.2949
9.5000,1922.5407,1293.2949
9.5000,1922.5407,1326.2949
9.5000,1922.5407,1425.2949
9.5000,1922.5407,1524.2949
9.5000,1922.5407,1557.2949
9.5000,1922.5407,1458.2949
9.5000,1922.5407,1491.2949
9.5000,1922.5407,1062.2949
9.5000,1922.5407,1095.2949
9.5000,1922.5407,996.2949
9.5000,1922.5407,1029.2949
9.5000,1922.5407,1128.2949
9.5000,1922.5407,1227.2949
9.5000,1922.5407,1260.2949
9.5000,1955.5407,1161.2949
9.5000,1922.5407,1194.2949
9.5000,1889.5407,732.2949
9.5000,1889.5407,765.2949
9.5000,1889.5407,666.2949
9.5000,1889.5407,699.2949
9.5000,1889.5407,798.2949
9.5000,1889.5407,897.2949
9.5000,1889.5407,930.2949
9.5000,1889.5407,831.2949
9.5000,1889.5407,864.2949
9.5000,1922.5407,1656.2949
9.5000,1922.5407,1689.2949
9.5000,1922.5407,1590.2949
9.5000,1922.5407,1623.2949
9.5000,1922.5407,1722.2949
9.5000,1889.5407,600.2949
9.5000,1889.5407,633.2949
9.5000,1922.5407,1755.2949
9.5000,1889.5407,567.2949
9.5000,1955.5407,1392.2949
9.5000,1955.5407,1425.2949
9.5000,1955.5407,1326.2949
9.5000,1955.5407,1359.2949
9.5000,1955.5407,1458.2949
9.5000,1955.5407,1557.2949
9.5000,1955.5407,1590.2949
9.5000,1955.5407,1491.2949
9.5000,1955.5407,1524.2949
9.5000,1955.5407,1095.2949
9.5000,1955.5407,1128.2949
9.5000,1955.5407,1029.2949
9.5000,1955.5407,1062.2949
9.5000,1988.5407,1161.2949
9.5000,1955.5407,1260.2949
9.5000,1955.5407,1293.2949
9.5000,1955.5407,1194.2949
9.5000,1955.5407,1227.2949
9.5000,1922.5407,765.2949
9.5000,1922.5407,798.2949
9.5000,1922.5407,699.2949
9.5000,1922.5407,732.2949
9.5000,1922.5407,831.2949
9.5000,1922.5407,930.2949
9.5000,1922.5407,963.2949
9.5000,1922.5407,864.2949
9.5000,1922.5407,897.2949
9.5000,1955.5407,1689.2949
9.5000,1955.5407,1722.2949
9.5000,1955.5407,1623.2949
9.5000,1955.5407,1656.2949
9.5000,1955.5407,1755.2949
9.5000,1922.5407,633.2949
9.5000,1922.5407,666.2949
9.5000,1922.5407,567.2949
9.5000,1922.5407,600.2949
9.5000,1889.5407,963.2949
9.5000,1856.5407,1326.2949
9.5000,1856.5407,1359.2949
9.5000,1856.5407,1260.2949
9.5000,1856.5407,1293.2949
