半径,中心 X,中心 Y
19.0000,917.8422,1419.5840
19.0000,917.8422,1371.5840
19.0000,959.4114,915.5840
19.0000,917.8422,1467.5840
19.0000,917.8422,1323.5840
19.0000,917.8422,1179.5840
19.0000,917.8422,1131.5840
19.0000,917.8422,1275.5840
19.0000,917.8422,1227.5840
19.0000,959.4114,1251.5840
19.0000,959.4114,1203.5840
19.0000,959.4114,1347.5840
19.0000,959.4114,1299.5840
19.0000,959.4114,1155.5840
19.0000,959.4114,1011.5840
19.0000,959.4114,963.5840
19.0000,959.4114,1107.5840
19.0000,959.4114,1059.5840
19.0000,917.8422,1083.5840
19.0000,876.2729,1107.5840
19.0000,876.2729,1011.5840
19.0000,876.2729,1203.5840
19.0000,876.2729,1155.5840
19.0000,876.2729,963.5840
19.0000,834.7037,1371.5840
19.0000,834.7037,1323.5840
19.0000,834.7037,1467.5840
19.0000,834.7037,1419.5840
19.0000,917.8422,939.5840
19.0000,876.2729,1491.5840
19.0000,917.8422,1035.5840
19.0000,917.8422,987.5840
19.0000,876.2729,1443.5840
19.0000,876.2729,1299.5840
19.0000,876.2729,1251.5840
19.0000,876.2729,1395.5840
19.0000,876.2729,1347.5840
19.0000,959.4114,1395.5840
19.0000,1042.5498,1443.5840
19.0000,1042.5498,1395.5840
19.0000,460.5808,1731.5840
19.0000,1042.5498,1491.5840
19.0000,1042.5498,1347.5840
19.0000,1042.5498,1203.5840
19.0000,1042.5498,1155.5840
19.0000,1042.5498,1299.5840
19.0000,1042.5498,1251.5840
19.0000,502.1500,1707.5840
19.0000,502.1500,1755.5840
19.0000,502.1500,1611.5840
19.0000,502.1500,1659.5840
19.0000,502.1500,1803.5840
19.0000,460.5808,1635.5840
19.0000,460.5808,1683.5840
19.0000,460.5808,1539.5840
19.0000,460.5808,1587.5840
19.0000,1042.5498,1107.5840
19.0000,1000.9806,1131.5840
19.0000,1000.9806,1083.5840
19.0000,1000.9806,1227.5840
19.0000,1000.9806,1179.5840
19.0000,1000.9806,1035.5840
19.0000,959.4114,1491.5840
19.0000,959.4114,1443.5840
19.0000,1000.9806,987.5840
19.0000,1000.9806,939.5840
19.0000,1042.5498,963.5840
19.0000,1042.5498,915.5840
19.0000,1042.5498,1059.5840
19.0000,1042.5498,1011.5840
19.0000,1000.9806,1467.5840
19.0000,1000.9806,1323.5840
19.0000,1000.9806,1275.5840
19.0000,1000.9806,1419.5840
19.0000,1000.9806,1371.5840
19.0000,668.4269,1131.5840
19.0000,668.4269,1083.5840
19.0000,668.4269,1227.5840
19.0000,668.4269,1179.5840
19.0000,668.4269,1035.5840
19.0000,626.8576,1395.5840
19.0000,626.8576,1347.5840
19.0000,626.8576,1491.5840
19.0000,626.8576,1443.5840
19.0000,709.9961,1059.5840
19.0000,709.9961,1011.5840
19.0000,709.9961,1155.5840
19.0000,709.9961,1107.5840
19.0000,668.4269,1467.5840
19.0000,668.4269,1323.5840
19.0000,668.4269,1275.5840
19.0000,668.4269,1419.5840
19.0000,668.4269,1371.5840
19.0000,626.8576,1299.5840
19.0000,585.2884,1131.5840
19.0000,543.7192,1491.5840
19.0000,585.2884,1227.5840
19.0000,585.2884,1179.5840
19.0000,543.7192,1443.5840
19.0000,543.7192,1299.5840
19.0000,543.7192,1251.5840
19.0000,543.7192,1395.5840
19.0000,543.7192,1347.5840
19.0000,626.8576,1155.5840
19.0000,626.8576,1107.5840
19.0000,626.8576,1251.5840
19.0000,626.8576,1203.5840
19.0000,626.8576,1059.5840
19.0000,585.2884,1323.5840
19.0000,585.2884,1275.5840
19.0000,585.2884,1467.5840
19.0000,585.2884,1419.5840
19.0000,709.9961,1203.5840
19.0000,793.1345,1347.5840
19.0000,793.1345,1299.5840
19.0000,793.1345,1443.5840
19.0000,793.1345,1395.5840
19.0000,793.1345,1251.5840
19.0000,793.1345,1107.5840
19.0000,793.1345,1059.5840
19.0000,793.1345,1203.5840
19.0000,793.1345,1155.5840
19.0000,834.7037,1179.5840
19.0000,834.7037,1131.5840
19.0000,834.7037,1275.5840
19.0000,834.7037,1227.5840
19.0000,834.7037,1083.5840
19.0000,834.7037,939.5840
19.0000,793.1345,1491.5840
19.0000,834.7037,1035.5840
19.0000,834.7037,987.5840
19.0000,793.1345,1011.5840
19.0000,751.5653,987.5840
19.0000,709.9961,1491.5840
19.0000,751.5653,1083.5840
19.0000,751.5653,1035.5840
19.0000,709.9961,1443.5840
19.0000,709.9961,1299.5840
19.0000,709.9961,1251.5840
19.0000,709.9961,1395.5840
19.0000,709.9961,1347.5840
19.0000,751.5653,1419.5840
19.0000,751.5653,1371.5840
19.0000,793.1345,963.5840
19.0000,751.5653,1467.5840
19.0000,751.5653,1323.5840
19.0000,751.5653,1179.5840
19.0000,751.5653,1131.5840
19.0000,751.5653,1275.5840
19.0000,751.5653,1227.5840
19.0000,917.8422,1995.5840
19.0000,917.8422,2043.5840
19.0000,917.8422,1899.5840
19.0000,917.8422,1947.5840
19.0000,917.8422,2091.5840
19.0000,876.2729,1635.5840
19.0000,876.2729,1683.5840
19.0000,876.2729,1539.5840
19.0000,876.2729,1587.5840
19.0000,917.8422,1563.5840
19.0000,917.8422,1611.5840
19.0000,959.4114,2115.5840
19.0000,917.8422,1515.5840
19.0000,917.8422,1659.5840
19.0000,917.8422,1803.5840
19.0000,917.8422,1851.5840
19.0000,917.8422,1707.5840
19.0000,917.8422,1755.5840
19.0000,876.2729,1731.5840
19.0000,834.7037,1755.5840
19.0000,834.7037,1803.5840
19.0000,834.7037,1659.5840
19.0000,834.7037,1707.5840
19.0000,834.7037,1851.5840
19.0000,834.7037,1995.5840
19.0000,834.7037,2043.5840
19.0000,834.7037,1899.5840
19.0000,834.7037,1947.5840
19.0000,876.2729,1875.5840
19.0000,876.2729,1923.5840
19.0000,876.2729,1779.5840
19.0000,876.2729,1827.5840
19.0000,876.2729,2019.5840
19.0000,834.7037,1563.5840
19.0000,834.7037,1611.5840
19.0000,876.2729,2067.5840
19.0000,834.7037,1515.5840
19.0000,959.4114,2067.5840
19.0000,1042.5498,2067.5840
19.0000,1042.5498,2115.5840
19.0000,1042.5498,1971.5840
19.0000,1042.5498,2019.5840
19.0000,1000.9806,1515.5840
19.0000,1000.9806,1659.5840
19.0000,1000.9806,1707.5840
19.0000,1000.9806,1563.5840
19.0000,1000.9806,1611.5840
19.0000,1042.5498,1635.5840
19.0000,1042.5498,1683.5840
19.0000,1042.5498,1539.5840
19.0000,1042.5498,1587.5840
19.0000,1042.5498,1731.5840
19.0000,1042.5498,1875.5840
19.0000,1042.5498,1923.5840
19.0000,1042.5498,1779.5840
19.0000,1042.5498,1827.5840
19.0000,1000.9806,1755.5840
19.0000,959.4114,1731.5840
19.0000,959.4114,1779.5840
19.0000,959.4114,1635.5840
19.0000,959.4114,1683.5840
19.0000,959.4114,1827.5840
